,state,UP,DOWN,LEFT,RIGHT,POLICY
32,"((0, 1), (1, 3))",-244.66013937629145,-245.26076641707675,-243.5981092173576,-247.69988615145382,LEFT
33,"((2, 1), (1, 3))",-242.16768444453533,-248.87003339816792,-245.76293441828773,-249.1678004462649,UP
34,"((1, 0), (1, 3))",-243.5594324606289,-250.0495285434702,-244.66013937629145,-244.7859679945935,UP
35,"((0, 0), (1, 3))",-243.52608497843914,-243.7893376555462,-243.52608497843914,-244.01845129306275,UP
36,"((2, 0), (1, 3))",-244.26476394456324,-244.39018859728958,-243.52608497843914,-249.1429906139727,LEFT
37,"((1, 3), (1, 4))",-230.52164366760985,-1014.9999848753214,-242.6362287750935,-218.12115618982807,RIGHT
38,"((0, 3), (1, 4))",-222.2972105994794,-218.66179492523037,-227.6402812498655,-218.54016009915227,RIGHT
39,"((2, 3), (1, 4))",0.0,0.0,0.0,0.0,UP
40,"((4, 1), (4, 2))",-327.12943897193475,-326.5254163030523,-326.91929982718096,-948.75,DOWN
41,"((3, 1), (4, 2))",-322.8607324284695,-326.8737697289222,-326.3596643725821,-321.9915349716451,RIGHT
42,"((2, 1), (4, 2))",-318.3952016097368,-321.22342745580613,-321.5009330352467,-321.60806042955346,UP
43,"((1, 1), (4, 2))",-319.66101596019007,-320.5835892901579,-318.66906678923243,-315.166634391034,RIGHT
44,"((0, 1), (4, 2))",-313.50566179907617,-316.67760031448563,-314.46430829095436,-315.5712619708736,UP
45,"((5, 1), (4, 2))",-324.10428765094616,-319.707274587008,-320.33480840624986,-316.5381681290632,RIGHT
46,"((4, 0), (4, 2))",-327.33544409139336,-324.9704068190168,-324.30555959445076,-324.1737959117478,RIGHT
47,"((3, 0), (4, 2))",-325.1026803789848,-324.605037917805,-320.7683284735606,-325.1143411596455,LEFT
48,"((2, 0), (4, 2))",-322.01351970934064,-319.8138464652754,-323.09491570895193,-323.38897095555524,DOWN
49,"((1, 0), (4, 2))",-317.8530103290267,-320.9111576296275,-313.5172557796219,-319.850587301076,LEFT
50,"((0, 0), (4, 2))",-317.3976818508283,-313.39736584518295,-312.1828056455001,-318.23637264435615,LEFT
51,"((5, 0), (4, 2))",-325.77494879576585,-320.7683284735606,-320.7683284735606,-320.56918422055014,RIGHT
52,"((4, 2), (4, 3))",0.0,0.0,0.0,0.0,UP
53,"((3, 2), (4, 2))",-325.16140672739414,-323.0801034228833,-323.7874757766135,-760.5,DOWN
54,"((2, 2), (4, 2))",-321.44990202329836,-324.5951178687399,-320.22510427537316,-888.125,LEFT
55,"((1, 2), (4, 2))",-316.3488903551218,-320.11700299973575,-316.4928337184185,-317.3019968260579,UP
56,"((0, 2), (4, 2))",-316.6783072451778,-317.3702028448214,-312.08800355600835,-314.4887713372473,LEFT
57,"((5, 2), (4, 2))",-307.0196887725846,-308.27853661670474,-307.96007412677227,-507.0,UP
58,"((4, 2), (3, 2))",-296.0923268192232,-302.0520871857398,-304.21551834162574,-888.125,UP
